Target relationship: patient_chronotype -> cluster
Model Formula: Formula(cluster ~ age + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 990]           0.262  0.584  -0.824    1.336      0.004    0.008  16890.047  5215.269  1.001
1|id[1, 991]           0.214  0.572  -0.843    1.290      0.004    0.007  16947.528  6124.995  1.001
1|id[1, 995]           0.001  0.609  -1.188    1.111      0.005    0.008  15593.680  4785.927  1.001
1|id[1, 996]           0.083  0.700  -1.234    1.371      0.006    0.009  14507.877  5713.270  1.001
1|id[1, 997]          -0.042  0.675  -1.298    1.214      0.005    0.009  15845.704  5495.088  1.000
1|id[1, 1003]          0.581  0.569  -0.462    1.658      0.004    0.007  16027.324  5691.658  1.000
1|id[1, 1004]         -0.598  0.658  -1.883    0.619      0.005    0.009  17430.143  5500.310  1.000
1|id[1, 1006]          0.752  0.570  -0.302    1.810      0.004    0.007  16761.514  5686.208  1.000
1|id[1, 1013]          0.911  0.600  -0.159    2.097      0.004    0.008  18622.641  5623.461  1.001
1|id[1, 1015]          0.847  0.625  -0.284    2.092      0.005    0.009  16507.533  5376.669  1.001
1|id[1, 1034]          0.459  0.571  -0.656    1.492      0.004    0.007  16091.314  5341.053  1.002
1|id[1, 1036]          0.968  0.580  -0.064    2.107      0.005    0.007  16004.500  6290.164  1.000
1|id[1, 1037]         -0.381  0.618  -1.505    0.797      0.005    0.008  16401.078  6363.233  1.000
1|id[1, 1038]          0.856  0.585  -0.280    1.915      0.004    0.008  16889.654  5672.547  1.000
1|id[1, 1039]          0.475  0.594  -0.619    1.585      0.005    0.008  17228.535  6162.211  1.001
1|id[1, 1040]          0.364  0.579  -0.739    1.417      0.005    0.007  13771.927  5919.635  1.000
1|id[1, 1041]         -0.080  0.574  -1.195    0.951      0.004    0.007  17754.284  5865.620  1.000
1|id[1, 1042]         -0.323  0.719  -1.632    1.084      0.005    0.009  17211.373  5656.237  1.001
1|id[1, 1043]         -0.485  0.602  -1.571    0.642      0.005    0.008  16521.668  5659.884  1.002
1|id[1, 1044]         -0.283  0.643  -1.475    0.936      0.006    0.008  13435.134  5572.993  1.001
1|id[1, 1045]          0.092  0.628  -1.042    1.287      0.005    0.008  18095.096  5682.162  1.001
1|id[1, 1047]          0.082  0.597  -1.041    1.201      0.005    0.008  14868.460  5924.054  1.002
1|id[1, 1049]          0.031  0.588  -1.086    1.142      0.004    0.008  18448.441  5057.352  1.001
1|id[1, 1050]         -0.441  0.604  -1.592    0.694      0.005    0.009  16816.734  5459.227  1.001
1|id[1, 1052]         -0.277  0.587  -1.346    0.865      0.005    0.007  15027.387  5826.611  1.000
1|id[1, 1055]          0.775  0.578  -0.272    1.919      0.005    0.007  14919.465  6004.291  1.000
1|id[1, 1059]         -0.891  0.627  -2.047    0.292      0.005    0.008  15461.747  5643.113  1.001
1|id[1, 1060]         -0.515  0.617  -1.655    0.647      0.005    0.008  16535.341  6235.622  1.000
1|id[1, 1061]         -0.237  0.640  -1.423    0.956      0.005    0.009  16110.528  5581.661  1.000
1|id[1, 1081]          0.808  0.595  -0.344    1.907      0.005    0.008  15235.819  5650.441  1.001
1|id[1, 1089]          0.288  0.605  -0.838    1.457      0.005    0.008  15315.552  5107.455  1.000
1|id[1, 1100]         -0.478  0.701  -1.830    0.775      0.005    0.009  16968.959  5757.207  1.001
1|id[1, 1105]         -0.464  0.638  -1.757    0.671      0.005    0.009  17627.864  5706.164  1.000
1|id[1, 1106]         -0.476  0.694  -1.789    0.803      0.006    0.009  15624.719  5964.688  1.000
1|id[1, 1113]          0.557  0.572  -0.485    1.652      0.005    0.007  14356.800  5909.573  1.000
1|id[1, 1126]         -0.447  0.586  -1.569    0.585      0.005    0.007  16805.665  5662.614  1.000
1|id[1, 1132]          0.542  0.597  -0.541    1.707      0.004    0.008  18894.162  5989.300  1.001
1|id[1, 1140]          0.784  0.616  -0.354    1.952      0.005    0.008  17879.218  5997.924  1.000
1|id[1, 1141]         -0.113  0.589  -1.180    1.036      0.005    0.009  15871.704  5850.033  1.001
1|id[1, 1149]          0.313  0.647  -0.920    1.521      0.005    0.008  15492.002  5491.233  1.000
1|id[1, 1150]          1.156  0.622   0.034    2.327      0.005    0.008  15198.919  6063.312  1.000
1|id[1, 1152]          0.575  0.536  -0.417    1.590      0.004    0.007  16667.311  6101.479  1.001
1|id[1, 1153]          0.602  0.580  -0.464    1.714      0.004    0.008  19093.121  5758.036  1.000
1|id[1, 1154]         -0.655  0.672  -1.920    0.595      0.005    0.009  15338.418  5669.971  1.001
1|id[1, 1156]          0.208  0.586  -0.835    1.371      0.005    0.007  16102.131  6061.535  1.001
1|id[1, 1169]          0.723  0.595  -0.422    1.803      0.004    0.008  17521.079  5644.469  1.000
1|id[1, 1170]         -0.905  0.640  -2.128    0.289      0.005    0.008  15858.988  5716.920  1.000
1|id[1, 1173]          0.536  0.581  -0.513    1.680      0.004    0.008  17760.100  5508.632  1.000
1|id[1, 1176]         -0.004  0.606  -1.198    1.080      0.005    0.008  14555.368  5340.564  1.001
1|id[1, 1177]         -1.060  0.628  -2.260    0.062      0.005    0.009  17579.708  4893.591  1.001
1|id[1, 1178]          0.366  0.739  -1.066    1.726      0.006    0.010  17317.748  5340.893  1.001
1|id[1, 1181]          0.729  0.594  -0.411    1.821      0.005    0.008  16392.370  5612.528  1.000
1|id[1, 1182]          0.807  0.668  -0.434    2.080      0.005    0.009  16098.353  5559.056  1.002
1|id[1, 1187]          0.407  0.553  -0.617    1.437      0.004    0.008  15875.860  5886.129  1.000
1|id[1, 1188]          0.585  0.635  -0.654    1.728      0.005    0.009  15325.443  5298.527  1.000
1|id[1, 1189]          0.254  0.634  -0.964    1.417      0.005    0.008  15507.595  5377.013  1.001
1|id[1, 1191]          0.010  0.614  -1.152    1.162      0.004    0.008  19498.582  5999.681  1.000
1|id[1, 1192]         -0.079  0.598  -1.232    1.038      0.005    0.009  16833.477  5230.102  1.001
1|id[1, 1196]         -0.920  0.624  -2.081    0.243      0.005    0.008  15074.299  5674.992  1.002
1|id[1, 1200]         -0.344  0.591  -1.443    0.749      0.004    0.007  17603.260  6438.902  1.000
1|id[1, 1212]          0.279  0.588  -0.767    1.446      0.005    0.007  16564.717  6018.019  1.001
1|id[1, 1215]          0.180  0.722  -1.167    1.546      0.006    0.010  16312.810  5436.963  1.001
1|id[1, 1221]         -0.360  0.696  -1.667    0.942      0.005    0.009  16765.151  5334.669  1.000
1|id[1, 1222]         -0.337  0.640  -1.501    0.900      0.005    0.008  18942.040  6437.512  1.002
1|id[1, 1231]         -0.167  0.650  -1.425    1.034      0.005    0.009  15884.644  5589.903  1.001
1|id[1, 1234]          0.059  0.613  -1.091    1.226      0.005    0.009  17180.471  5528.344  1.001
1|id[1, 1235]          0.862  0.589  -0.220    2.010      0.005    0.008  15811.953  5543.689  1.000
1|id[1, 1237]          0.521  0.586  -0.560    1.628      0.005    0.008  15158.780  5571.642  1.000
1|id[1, 1239]          0.052  0.601  -1.111    1.134      0.004    0.008  20137.309  4563.173  1.002
1|id[1, 1257]         -0.874  0.628  -2.017    0.330      0.005    0.008  15980.172  6196.105  1.001
1|id[1, 1265]          0.558  0.604  -0.509    1.740      0.005    0.008  16319.681  5565.482  1.001
1|id[1, 1267]         -0.532  0.605  -1.683    0.579      0.005    0.007  15277.933  6020.745  1.001
1|id[1, 1276]         -0.241  0.548  -1.346    0.733      0.004    0.007  16088.680  5894.265  1.000
1|id[1, 1277]         -0.056  0.565  -1.096    1.015      0.005    0.007  15157.591  6340.344  1.000
1|id[1, 1294]          0.193  0.573  -0.905    1.260      0.005    0.007  15901.811  5838.159  1.000
1|id[1, 1296]         -0.999  0.610  -2.113    0.162      0.005    0.008  15948.981  6170.152  1.001
1|id[1, 1298]         -0.242  0.582  -1.390    0.800      0.004    0.008  19022.973  5716.762  1.000
1|id[1, 1299]          0.624  0.573  -0.436    1.695      0.004    0.007  17337.667  6166.553  1.000
1|id[1, 1300]         -0.602  0.676  -1.887    0.669      0.005    0.009  15442.495  5405.159  1.001
1|id[1, 1303]          0.091  0.586  -0.951    1.269      0.004    0.008  18807.482  6025.858  1.000
1|id[1, 1305]          0.027  0.609  -1.111    1.199      0.004    0.008  19038.783  6097.633  1.000
1|id[1, 1306]         -0.374  0.722  -1.713    1.018      0.005    0.010  19812.471  5113.333  1.000
1|id[1, 1307]          0.580  0.610  -0.584    1.711      0.005    0.008  17979.344  5486.484  1.000
1|id[1, 1308]         -0.196  0.601  -1.319    0.934      0.004    0.008  18564.633  5938.407  1.000
1|id[1, 1309]         -0.954  0.641  -2.207    0.221      0.005    0.009  17030.984  5708.933  1.001
1|id[1, 1313]          0.219  0.583  -0.855    1.323      0.005    0.007  15322.282  6231.679  1.000
1|id[1, 1317]         -1.073  0.621  -2.265    0.075      0.005    0.008  15941.353  6010.297  1.000
1|id[1, 1318]         -0.271  0.644  -1.469    0.917      0.005    0.008  17145.172  6332.506  1.000
1|id[1, 1328]         -0.348  0.633  -1.559    0.811      0.005    0.008  15583.283  6288.567  1.000
1|id[1, 1329]          0.056  0.631  -1.112    1.260      0.005    0.011  16338.432  5010.433  1.000
1|id[1, 1331]         -0.447  0.581  -1.508    0.653      0.004    0.007  18435.097  5281.469  1.001
1|id[1, 1332]          0.546  0.583  -0.571    1.638      0.004    0.007  18105.038  6157.646  1.001
1|id[1, 1339]         -0.351  0.637  -1.503    0.891      0.005    0.008  19065.822  5950.579  1.000
1|id[1, 1340]          0.269  0.584  -0.849    1.345      0.004    0.007  17596.114  5609.215  1.001
1|id[1, 1345]         -0.491  0.595  -1.589    0.654      0.004    0.007  18331.662  6027.314  1.000
1|id[1, 1346]         -0.409  0.580  -1.469    0.717      0.004    0.007  16989.443  5944.536  1.000
1|id[1, 1348]          0.092  0.712  -1.267    1.412      0.005    0.009  16858.370  5092.854  1.000
1|id[1, 1349]         -0.429  0.716  -1.694    1.035      0.005    0.010  20155.713  5428.491  1.001
1|id[1, 1352]          0.393  0.600  -0.724    1.498      0.004    0.008  18182.393  5418.013  1.000
1|id[1, 1353]          0.501  0.617  -0.651    1.649      0.004    0.008  19515.234  6280.430  1.000
1|id[1, 1354]         -0.001  0.609  -1.185    1.107      0.005    0.008  17900.997  5406.821  1.001
1|id[1, 1355]          0.319  0.583  -0.795    1.395      0.005    0.008  15229.242  5454.778  1.000
1|id[1, 1356]         -0.562  0.588  -1.701    0.532      0.005    0.008  16048.553  5480.749  1.000
1|id[1, 1357]          0.460  0.588  -0.603    1.593      0.005    0.007  16516.507  6603.456  1.000
1|id[1, 1360]          0.093  0.607  -1.112    1.188      0.005    0.008  16385.656  5832.615  1.001
1|id[1, 1362]          0.249  0.566  -0.843    1.263      0.004    0.007  19300.825  6463.967  1.001
1|id[1, 1366]         -0.494  0.599  -1.629    0.635      0.005    0.008  16556.290  5648.940  1.001
1|id[1, 1368]          0.530  0.577  -0.535    1.631      0.004    0.007  17239.500  5473.409  1.003
1|id[1, 1369]         -0.611  0.595  -1.686    0.526      0.005    0.009  17322.658  4925.799  1.000
1|id[1, 1370]          0.038  0.627  -1.194    1.160      0.005    0.008  17039.112  5723.689  1.000
1|id[1, 1372]          0.705  0.558  -0.306    1.795      0.004    0.008  16919.891  5545.892  1.001
1|id[1, 1376]         -0.157  0.573  -1.228    0.914      0.004    0.008  18210.630  5613.094  1.001
1|id[1, 1380]         -0.684  0.597  -1.791    0.485      0.004    0.007  18490.139  6355.786  1.002
1|id[1, 1382]         -0.295  0.641  -1.510    0.884      0.005    0.008  17006.970  5021.293  1.002
1|id[1, 1384]          0.721  0.571  -0.320    1.814      0.005    0.007  15085.987  5951.140  1.000
1|id[1, 1385]          0.808  0.562  -0.252    1.845      0.004    0.008  16963.021  6266.061  1.001
1|id[1, 1386]          0.537  0.650  -0.665    1.728      0.005    0.009  17561.300  5500.621  1.001
1|id[1, 1387]          0.257  0.569  -0.791    1.336      0.004    0.007  17151.729  6197.497  1.000
1|id[1, 1389]          0.612  0.596  -0.540    1.706      0.005    0.008  16928.977  5712.842  1.001
1|id[1, 1390]         -0.178  0.589  -1.238    0.969      0.004    0.008  18339.235  5747.275  1.002
1|id[1, 1391]          0.118  0.627  -1.056    1.298      0.004    0.008  19863.091  6267.657  1.000
1|id[1, 1393]         -0.642  0.598  -1.756    0.500      0.005    0.008  15976.115  6028.322  1.002
1|id[1, 1420]          0.533  0.621  -0.634    1.718      0.005    0.009  18234.439  5598.823  1.001
1|id[1, 1421]          0.109  0.596  -1.025    1.224      0.004    0.008  20114.227  5631.606  1.001
1|id[1, 1422]          0.347  0.573  -0.714    1.444      0.004    0.007  16357.063  5345.987  1.001
1|id[1, 1424]          0.327  0.587  -0.743    1.452      0.004    0.008  17359.086  6172.682  1.000
1|id[1, 1425]         -0.315  0.604  -1.418    0.872      0.005    0.008  15284.269  5083.258  1.001
1|id[1, 1426]          0.306  0.660  -0.900    1.571      0.005    0.008  15773.739  6045.376  1.000
1|id[1, 1428]         -0.170  0.590  -1.306    0.936      0.005    0.008  16277.047  5894.463  1.000
1|id[1, 1429]         -0.419  0.630  -1.585    0.765      0.005    0.008  16190.829  5647.022  1.002
1|id[1, 1431]          0.267  0.656  -0.994    1.463      0.005    0.010  16851.482  5296.114  1.000
1|id[1, 1433]          0.173  0.596  -0.940    1.301      0.005    0.007  16181.007  6462.763  1.000
1|id[1, 1434]          0.242  0.562  -0.819    1.272      0.004    0.007  16867.483  5304.029  1.001
1|id[1, 1435]         -0.590  0.619  -1.741    0.568      0.005    0.008  15288.966  5226.262  1.001
1|id[1, 1437]          0.632  0.602  -0.510    1.740      0.005    0.008  15972.090  5519.888  1.001
1|id[1, 1443]          0.269  0.605  -0.832    1.433      0.004    0.008  18498.179  6008.629  1.000
1|id[1, 1447]         -0.284  0.632  -1.417    0.963      0.005    0.008  16422.019  5294.081  1.000
1|id[1, 1448]         -0.460  0.562  -1.485    0.629      0.004    0.007  18336.938  5314.917  1.001
1|id[1, 1449]          0.098  0.579  -0.954    1.214      0.005    0.007  15629.018  6247.615  1.000
1|id[1, 1454]         -0.460  0.611  -1.652    0.654      0.005    0.007  15020.621  6328.429  1.001
1|id[1, 1456]         -0.627  0.658  -1.866    0.622      0.005    0.008  15564.824  5624.803  1.000
1|id[1, 1457]         -0.511  0.630  -1.718    0.644      0.005    0.008  16016.723  5433.026  1.001
1|id[1, 1458]         -0.515  0.615  -1.662    0.635      0.005    0.008  18192.986  6062.777  1.001
1|id[1, 1459]         -0.415  0.617  -1.518    0.771      0.005    0.007  15135.695  6200.479  1.000
1|id[1, 1461]          0.437  0.592  -0.647    1.570      0.005    0.007  16118.807  6184.127  1.000
1|id[1, 1462]         -0.551  0.582  -1.656    0.537      0.005    0.008  16268.372  5060.976  1.000
1|id[1, 1464]         -0.343  0.617  -1.519    0.782      0.005    0.008  17195.163  5651.251  1.002
1|id[1, 1465]          1.526  0.590   0.459    2.657      0.005    0.007  16029.475  5645.156  1.001
1|id[1, 1467]          0.407  0.589  -0.683    1.520      0.005    0.008  16643.082  5861.982  1.000
1|id[1, 1468]          0.275  0.579  -0.822    1.350      0.005    0.007  16106.656  5696.088  1.000
1|id[1, 1469]          0.594  0.583  -0.465    1.675      0.004    0.008  18550.518  4946.524  1.000
1|id[1, 1470]          0.173  0.583  -0.914    1.282      0.005    0.008  16707.973  5952.391  1.000
1|id[1, 1472]          0.279  0.585  -0.843    1.346      0.005    0.007  16269.150  5944.072  1.001
1|id[1, 1473]          0.242  0.615  -0.933    1.392      0.005    0.009  15160.322  5301.927  1.000
1|id[1, 1476]         -0.590  0.596  -1.684    0.563      0.005    0.008  14458.423  6024.724  1.000
1|id[1, 1478]         -0.759  0.590  -1.837    0.380      0.005    0.008  16636.769  5888.298  1.000
1|id[1, 1492]         -0.481  0.618  -1.642    0.664      0.005    0.008  18130.564  5998.121  1.000
1|id[1, 1518]         -0.495  0.610  -1.610    0.678      0.004    0.008  19621.843  5683.437  1.001
1|id[1, 1549]         -0.524  0.609  -1.683    0.604      0.005    0.008  15827.586  5787.175  1.000
1|id[1, 1555]          0.036  0.679  -1.191    1.373      0.005    0.009  17007.277  5554.050  1.001
1|id[1, 1559]          0.295  0.584  -0.787    1.372      0.005    0.007  15460.897  6273.748  1.000
1|id[1, 1560]          0.245  0.646  -0.979    1.434      0.005    0.009  16214.771  5551.824  1.000
1|id[1, 1561]         -0.182  0.599  -1.229    1.007      0.004    0.008  18279.910  5259.750  1.001
1|id[1, 1563]          0.681  0.631  -0.467    1.915      0.005    0.008  18660.496  6023.479  1.000
1|id[1, 1564]          0.508  0.585  -0.559    1.633      0.005    0.008  15237.060  6020.730  1.001
1|id[1, 1565]          0.487  0.599  -0.624    1.599      0.005    0.007  17352.987  6143.895  1.000
1|id[1, 1566]          0.114  0.555  -0.917    1.157      0.004    0.007  16500.860  5936.491  1.001
1|id[1, 1572]          0.185  0.641  -1.050    1.366      0.005    0.008  15491.183  5556.212  1.001
1|id[1, 1574]         -0.072  0.664  -1.317    1.170      0.005    0.008  16653.832  5744.303  1.000
1|id[1, 1577]          0.306  0.586  -0.782    1.425      0.005    0.008  16051.452  6074.474  1.001
1|id[1, 1580]          0.129  0.641  -1.101    1.320      0.005    0.008  16368.755  6019.927  1.001
1|id[1, 1585]          0.544  0.626  -0.615    1.720      0.005    0.008  17953.316  6176.500  1.002
1|id[1, 1587]         -0.560  0.594  -1.736    0.514      0.004    0.008  18352.296  5658.701  1.002
1|id[1, 1588]         -0.508  0.693  -1.859    0.766      0.005    0.010  18735.817  5304.919  1.001
1|id[1, 1591]         -0.236  0.598  -1.366    0.876      0.004    0.008  18345.030  5552.815  1.001
1|id[1, 1592]         -0.411  0.626  -1.577    0.759      0.005    0.008  18316.135  6406.408  1.000
1|id[1, 1593]          0.331  0.681  -0.936    1.620      0.005    0.009  17044.568  5842.787  1.000
1|id[1, 1595]         -0.335  0.631  -1.538    0.838      0.005    0.008  17583.407  6072.540  1.000
1|id[1, 1596]         -0.207  0.764  -1.592    1.261      0.005    0.010  19518.533  5789.364  1.000
1|id[1, 1597]          0.471  0.631  -0.732    1.652      0.005    0.008  19594.012  6227.684  1.000
1|id[1, 1598]          0.310  0.583  -0.778    1.426      0.005    0.007  16674.850  5444.811  1.001
1|id[1, 1600]          0.323  0.557  -0.703    1.395      0.004    0.008  17555.788  5379.915  1.001
1|id[1, 1601]          0.013  0.545  -0.982    1.060      0.004    0.007  17031.111  5515.050  1.002
1|id[1, 1604]          0.018  0.599  -1.176    1.094      0.004    0.009  18532.719  5575.638  1.001
1|id[1, 1611]         -0.585  0.675  -1.832    0.700      0.005    0.010  17286.943  4986.482  1.000
1|id[1, 1638]          0.131  0.605  -1.013    1.272      0.005    0.008  17080.268  5369.687  1.001
1|id[1, 1639]         -0.289  0.637  -1.540    0.865      0.005    0.009  16074.141  5623.568  1.000
1|id[1, 1640]         -0.208  0.581  -1.307    0.876      0.004    0.008  17866.847  5462.656  1.002
1|id[1, 1641]         -0.606  0.605  -1.726    0.547      0.005    0.008  15655.578  6096.501  1.000
1|id[1, 1642]         -0.625  0.621  -1.826    0.519      0.005    0.007  15990.375  6380.896  1.001
1|id[1, 1647]         -0.327  0.650  -1.537    0.866      0.005    0.007  18172.332  6441.735  1.001
1|id[1, 1648]          0.278  0.572  -0.776    1.373      0.004    0.007  16583.963  5747.198  1.000
1|id[1, 1650]         -0.134  0.580  -1.219    0.954      0.005    0.008  16508.866  5966.296  1.001
1|id[1, 1654]          0.643  0.621  -0.506    1.813      0.005    0.008  16058.599  5733.742  1.001
1|id[1, 1657]         -0.569  0.697  -1.823    0.792      0.005    0.010  16646.336  5259.178  1.001
1|id[1, 1659]          0.143  0.599  -0.932    1.334      0.005    0.008  16837.933  5616.559  1.001
1|id[1, 1662]          0.178  0.584  -0.945    1.233      0.005    0.007  15714.422  6135.796  1.000
1|id[1, 1678]          0.322  0.747  -1.078    1.731      0.006    0.010  17963.320  5457.656  1.001
1|id[1, 1679]          0.994  0.568  -0.067    2.086      0.004    0.007  17439.792  5875.117  1.001
1|id[1, 1684]          0.464  0.637  -0.747    1.631      0.005    0.008  17551.276  5646.459  1.003
1|id[1, 1688]         -0.702  0.656  -1.890    0.560      0.005    0.009  16979.435  5429.886  1.001
1|id[1, 1690]         -0.121  0.672  -1.360    1.163      0.005    0.009  16826.351  5242.329  1.002
1|id[1, 1691]          0.186  0.558  -0.797    1.301      0.004    0.007  17770.882  5736.022  1.001
1|id[1, 1694]          0.403  0.579  -0.684    1.492      0.004    0.008  17164.418  5633.381  1.000
1|id[1, 1695]         -0.219  0.638  -1.368    1.004      0.005    0.009  17848.591  5630.350  1.000
1|id[1, 1699]         -0.818  0.630  -1.946    0.419      0.005    0.008  17375.064  5451.926  1.001
1|id[1, 1700]         -0.655  0.680  -1.961    0.558      0.005    0.008  15580.181  5531.936  1.000
1|id[1, 1701]         -0.910  0.625  -2.065    0.268      0.005    0.009  16818.427  5100.468  1.000
1|id[1, 1704]          0.323  0.573  -0.787    1.358      0.005    0.007  15215.815  6537.661  1.002
1|id[1, 1710]         -0.044  0.576  -1.137    1.010      0.004    0.007  18550.351  5782.216  1.001
1|id[1, 1714]          0.300  0.630  -0.866    1.486      0.005    0.008  14385.091  5634.467  1.001
1|id[1, 1715]          0.338  0.634  -0.799    1.573      0.005    0.007  18696.284  6220.316  1.000
1|id[1, 1716]          0.655  0.635  -0.527    1.814      0.005    0.008  17256.576  5915.591  1.000
1|id[1, 1717]          0.292  0.623  -0.922    1.428      0.005    0.008  15720.751  5395.705  1.001
1|id[1, 1718]          0.689  0.635  -0.463    1.918      0.005    0.008  16704.732  6180.132  1.001
1|id[1, 1719]         -0.677  0.672  -1.888    0.617      0.005    0.008  15165.304  6313.010  1.001
1|id[1, 1720]         -0.029  0.631  -1.198    1.184      0.005    0.008  14813.249  5434.933  1.000
1|id[1, 1721]          0.159  0.629  -0.979    1.352      0.005    0.008  15202.231  5850.918  1.001
1|id[1, 1722]         -0.402  0.651  -1.683    0.775      0.005    0.008  15812.028  5577.292  1.001
1|id[1, 1723]         -0.049  0.630  -1.269    1.098      0.005    0.008  16612.941  5869.606  1.001
1|id[1, 1724]         -0.276  0.670  -1.575    0.942      0.005    0.009  16950.495  5746.930  1.000
1|id[1, 1725]         -0.656  0.666  -1.902    0.565      0.005    0.008  15636.787  5948.835  1.001
1|id[1, 1727]         -0.020  0.605  -1.211    1.068      0.005    0.008  15949.213  5366.381  1.001
1|id[1, 1731]         -0.522  0.610  -1.648    0.660      0.005    0.008  15205.833  5553.019  1.001
1|id[1, 1735]          0.156  0.563  -0.868    1.225      0.004    0.007  16285.885  6105.579  1.000
1|id[1, 1737]          0.362  0.562  -0.624    1.495      0.004    0.008  17373.751  5308.691  1.001
1|id[1, 1739]         -0.412  0.611  -1.536    0.747      0.005    0.008  15732.183  5327.363  1.000
1|id[1, 1740]          0.615  0.596  -0.483    1.752      0.005    0.008  15354.856  5189.864  1.000
1|id[1, 1741]          0.453  0.581  -0.658    1.509      0.005    0.008  15129.181  6083.265  1.001
1|id[1, 1742]         -0.179  0.648  -1.400    1.040      0.005    0.009  17348.204  5513.302  1.000
1|id[1, 1743]         -0.779  0.638  -2.007    0.383      0.005    0.008  14619.358  5784.189  1.000
1|id[1, 1744]          0.580  0.620  -0.574    1.764      0.005    0.008  15952.031  5080.553  1.001
1|id[1, 1745]          0.889  0.593  -0.184    2.014      0.005    0.008  17387.376  5765.527  1.001
1|id[1, 1746]         -0.858  0.636  -2.055    0.344      0.005    0.008  16284.563  5748.295  1.000
1|id[1, 1747]          0.197  0.644  -1.020    1.405      0.005    0.008  18898.318  6282.108  1.000
1|id[1, 1748]          0.240  0.578  -0.866    1.290      0.005    0.007  14812.375  5156.367  1.000
1|id[1, 1749]          0.447  0.582  -0.658    1.528      0.004    0.008  18789.669  6015.821  1.001
1|id[1, 1750]         -0.388  0.617  -1.543    0.744      0.005    0.007  18020.984  6094.935  1.000
1|id[1, 1752]         -0.413  0.629  -1.562    0.814      0.005    0.008  17194.301  6024.910  1.000
1|id[1, 1755]         -0.379  0.707  -1.664    1.012      0.006    0.009  14288.839  5097.693  1.000
1|id[1, 1756]          0.809  0.581  -0.253    1.908      0.005    0.008  15457.421  5488.699  1.001
1|id[1, 1757]          0.488  0.579  -0.624    1.522      0.005    0.007  16477.630  5528.229  1.000
1|id[1, 1758]          0.105  0.619  -1.015    1.315      0.004    0.008  21450.046  6146.243  1.000
1|id[1, 1759]         -0.420  0.617  -1.554    0.746      0.005    0.008  18480.724  5545.424  1.000
1|id[1, 1761]          0.243  0.584  -0.852    1.327      0.004    0.007  18618.636  6316.993  1.000
1|id[1, 1763]          0.269  0.623  -0.868    1.480      0.005    0.008  17263.453  6227.995  1.000
1|id[1, 1764]         -0.136  0.656  -1.367    1.113      0.005    0.007  15798.730  6059.985  1.000
1|id[1, 1765]          1.218  0.610   0.074    2.365      0.005    0.008  15449.505  5537.211  1.001
1|id[1, 1766]          0.285  0.579  -0.821    1.339      0.004    0.008  16637.986  5816.671  1.001
1|id[1, 1767]          0.168  0.594  -0.953    1.277      0.004    0.008  18996.425  5915.767  1.000
1|id[1, 1768]          0.016  0.620  -1.191    1.143      0.005    0.008  17954.375  6112.683  1.001
1|id[1, 1770]          0.498  0.594  -0.636    1.573      0.005    0.007  15972.205  6496.155  1.001
1|id[1, 1771]         -0.883  0.640  -2.047    0.362      0.005    0.009  14614.483  5790.217  1.002
1|id[1, 1772]          1.182  0.623   0.037    2.378      0.005    0.008  14267.419  5669.407  1.001
1|id[1, 1773]          0.553  0.583  -0.477    1.708      0.005    0.007  16614.717  5868.410  1.000
1|id[1, 1775]          0.075  0.613  -1.091    1.228      0.005    0.007  14641.171  5995.804  1.000
1|id[1, 1781]          0.887  0.588  -0.232    1.985      0.004    0.008  18350.123  5523.776  1.001
1|id[1, 1788]          0.200  0.635  -0.980    1.414      0.005    0.009  16333.547  5600.063  1.000
1|id[1, 1791]         -0.484  0.599  -1.629    0.609      0.005    0.008  15789.354  5384.994  1.001
1|id[1, 1800]         -0.863  0.654  -2.078    0.370      0.005    0.009  16144.965  5471.108  1.002
1|id[1, 1801]          0.185  0.596  -0.916    1.329      0.005    0.008  16460.769  5198.032  1.000
1|id[1, 1802]         -0.382  0.618  -1.567    0.759      0.005    0.008  16682.645  5653.362  1.001
1|id[1, 1803]         -0.436  0.634  -1.612    0.741      0.005    0.008  15297.435  6190.184  1.001
1|id[1, 1804]          0.224  0.640  -0.937    1.486      0.005    0.009  17777.776  5348.011  1.004
1|id[1, 1805]         -1.148  0.593  -2.261   -0.054      0.005    0.008  16926.766  5866.660  1.000
1|id[1, 1806]         -0.370  0.623  -1.507    0.830      0.005    0.009  17768.235  5197.271  1.000
1|id[1, 1808]          0.463  0.581  -0.630    1.557      0.005    0.007  15989.067  5881.312  1.000
1|id[1, 1809]          0.114  0.564  -0.945    1.165      0.005    0.007  14905.542  5482.254  1.000
1|id[1, 1810]          0.334  0.574  -0.723    1.423      0.004    0.007  17611.929  5992.703  1.000
1|id[1, 1811]          0.115  0.569  -0.932    1.184      0.004    0.007  18892.901  5850.728  1.001
1|id[1, 1812]         -0.587  0.594  -1.706    0.520      0.005    0.008  16820.536  5656.578  1.001
1|id[1, 1813]         -0.134  0.613  -1.333    0.975      0.005    0.008  14181.555  5772.201  1.000
1|id[1, 1814]         -0.147  0.605  -1.264    0.975      0.005    0.007  17451.714  6211.932  1.000
1|id[1, 1815]         -0.391  0.614  -1.565    0.759      0.005    0.007  15787.544  6372.719  1.001
1|id[1, 1816]         -0.963  0.620  -2.079    0.236      0.005    0.009  17891.912  5752.871  1.001
